Date,Ticker,Open,High,Low,Close,Volume,Adj Close
16/6/2016,PETR3,"10,54","10,77","10,31","10,77",11684400,"10,77"
17/6/2016,PETR3,"11,01","11,5","11,01","11,39",14227500,"11,39"
20/6/2016,PETR3,"11,72","11,97","11,6","11,73",13260500,"11,73"
21/6/2016,PETR3,"11,7",12,"11,37","11,94",8962500,"11,94"
22/6/2016,PETR3,"12,01","12,26","11,65","11,65",10140100,"11,65"
23/6/2016,PETR3,"11,92","12,07","11,83","12,05",9435200,"12,05"
24/6/2016,PETR3,"11,2","11,61","11,04","11,43",15420500,"11,43"
27/6/2016,PETR3,"11,43","11,52","10,63","10,8",19702800,"10,8"
28/6/2016,PETR3,"11,23","11,42","11,06","11,25",10626500,"11,25"
29/6/2016,PETR3,"11,48","11,79","11,31","11,57",9054800,"11,57"
30/6/2016,PETR3,"11,45","11,55","11,25","11,51",9797100,"11,51"
1/7/2016,PETR3,"11,55","12,14","11,42","12,06",9532100,"12,06"
4/7/2016,PETR3,"12,11","12,33","11,99","12,02",2096200,"12,02"
5/7/2016,PETR3,"11,72","11,85","11,22","11,34",7323100,"11,34"
6/7/2016,PETR3,"11,15","11,74","11,01","11,69",8514500,"11,69"
7/7/2016,PETR3,"11,91","12,62","11,8","11,97",19077100,"11,97"
8/7/2016,PETR3,"12,23","12,48","12,13","12,3",8401600,"12,3"
11/7/2016,PETR3,"12,5","12,89","12,4","12,89",8959600,"12,89"
12/7/2016,PETR3,"13,15","13,48","13,11","13,29",10939400,"13,29"
13/7/2016,PETR3,"13,06","13,18","12,57","12,99",11526200,"12,99"
14/7/2016,PETR3,"13,35","13,39","12,97","13,32",11253400,"13,32"
15/7/2016,PETR3,"13,35","13,48","13,1","13,22",10908600,"13,22"
18/7/2016,PETR3,"13,15","13,79","13,09","13,66",12433100,"13,66"
19/7/2016,PETR3,"13,71","13,95","13,56","13,83",8463500,"13,83"
20/7/2016,PETR3,"13,81","13,88","13,54","13,65",7650600,"13,65"
21/7/2016,PETR3,"13,58","13,95","13,58","13,8",5610400,"13,8"
22/7/2016,PETR3,"13,85","13,86","13,56","13,75",5327100,"13,75"
25/7/2016,PETR3,"13,98","14,1","13,64","13,76",7808000,"13,76"
26/7/2016,PETR3,"13,68","13,84","13,58","13,74",8019300,"13,74"
27/7/2016,PETR3,"13,86","13,95","13,58","13,6",12297400,"13,6"
28/7/2016,PETR3,"13,48","13,55","13,18","13,34",6354400,"13,34"
29/7/2016,PETR3,"13,57","14,16","13,57","14,01",14208800,"14,01"
1/8/2016,PETR3,"14,04","14,2","13,19","13,19",10835900,"13,19"
2/8/2016,PETR3,"13,19","13,56","12,92","12,97",10422800,"12,97"
3/8/2016,PETR3,"13,05","13,57","12,84","13,55",11324100,"13,55"
4/8/2016,PETR3,"13,55","13,73","13,41","13,57",11109500,"13,57"
5/8/2016,PETR3,"13,66","13,68","13,23","13,26",7594600,"13,26"
8/8/2016,PETR3,"13,38","13,93","13,38","13,75",8091000,"13,75"
9/8/2016,PETR3,"13,75","13,99","13,47","13,68",14873300,"13,68"
10/8/2016,PETR3,"13,79","13,8","13,13","13,16",8104700,"13,16"
11/8/2016,PETR3,"13,2","13,74","13,16","13,68",8627600,"13,68"
12/8/2016,PETR3,"13,6","14,22","13,6","13,91",9601500,"13,91"
15/8/2016,PETR3,"14,02","14,54","13,97","14,52",11999800,"14,52"
16/8/2016,PETR3,"14,63","14,86","14,29","14,66",9273300,"14,66"
17/8/2016,PETR3,"14,54","14,98","14,42","14,91",10734400,"14,91"
18/8/2016,PETR3,"14,99","15,4","14,93","15,18",11293600,"15,18"
19/8/2016,PETR3,"15,07","15,27","14,93","15,06",5372800,"15,06"
22/8/2016,PETR3,"14,9","14,93","14,42","14,47",7997000,"14,47"
23/8/2016,PETR3,"14,56","15,17","14,49","14,93",9546800,"14,93"
24/8/2016,PETR3,"14,75","15,05","14,61","14,64",8019000,"14,64"
25/8/2016,PETR3,"14,7","14,93","14,62","14,85",6818700,"14,85"
26/8/2016,PETR3,"14,94","15,16","14,76","14,96",9549900,"14,96"
29/8/2016,PETR3,"14,95","15,42","14,82","15,19",9682700,"15,19"
30/8/2016,PETR3,"15,35","15,57","15,18","15,18",9105200,"15,18"
31/8/2016,PETR3,"15,3","15,44","14,61","14,74",12896300,"14,74"
1/9/2016,PETR3,"14,79","15,13","14,64","14,87",11314800,"14,87"
2/9/2016,PETR3,"15,15","15,68","15,13","15,63",12646400,"15,63"
5/9/2016,PETR3,"15,82","16,14","15,82","16,08",3585700,"16,08"
6/9/2016,PETR3,16,16,"15,71",16,13737800,16
8/9/2016,PETR3,"16,05","16,45","15,96","16,39",9276500,"16,39"
9/9/2016,PETR3,"16,05","16,15","15,5","15,5",9089800,"15,5"
12/9/2016,PETR3,"15,44","16,1","15,4","16,03",9557000,"16,03"
13/9/2016,PETR3,"15,69","15,88","14,76","14,81",13450900,"14,81"
14/9/2016,PETR3,15,"15,28","14,77","14,94",9956400,"14,94"
15/9/2016,PETR3,"15,16","15,57","15,02","15,29",9303600,"15,29"
16/9/2016,PETR3,"15,2","15,26","14,89","14,9",12051100,"14,9"
19/9/2016,PETR3,"15,19","15,32","14,84","14,89",5894000,"14,89"
20/9/2016,PETR3,"15,21","15,46","15,02","15,05",12004300,"15,05"
21/9/2016,PETR3,"15,15","15,39",15,"15,34",13962700,"15,34"
22/9/2016,PETR3,"15,65","15,76","15,46","15,54",9765100,"15,54"
23/9/2016,PETR3,"15,43","15,5","14,8","14,97",12389800,"14,97"
26/9/2016,PETR3,"14,9","14,96","14,66","14,7",6602400,"14,7"
27/9/2016,PETR3,"14,7","14,72","14,18","14,65",8197700,"14,65"
